,Time,Station,Temperature
0,1957-02-01,AMUNDSEN-SCOT,-27.0
1,1957-02-01,HALLEY,-6.8
2,1957-02-01,ROTHERA POINT,4.3
3,1957-02-01,MCMURDO,-3.4
4,1957-03-01,AMUNDSEN-SCOT,-37.5
5,1957-03-01,HALLEY,-10.9
6,1957-03-01,ROTHERA POINT,3.1
7,1957-03-01,MCMURDO,-8.1
8,1957-04-01,AMUNDSEN-SCOT,-53.0
9,1957-04-01,HALLEY,-16.0
10,1957-04-01,ROTHERA POINT,0.3
11,1957-04-01,SYOWA,-5.2
12,1957-04-01,MCMURDO,-17.4
13,1957-05-01,AMUNDSEN-SCOT,-55.7
14,1957-05-01,HALLEY,-20.4
15,1957-05-01,ROTHERA POINT,-0.1
16,1957-05-01,SYOWA,-9.5
17,1957-05-01,MCMURDO,-24.1
18,1957-06-01,AMUNDSEN-SCOT,-55.0
19,1957-06-01,HALLEY,-22.6
20,1957-06-01,ROTHERA POINT,-5.8
21,1957-06-01,SYOWA,-14.7
22,1957-06-01,MCMURDO,-24.1
23,1957-07-01,AMUNDSEN-SCOT,-55.8
24,1957-07-01,HALLEY,-24.6
25,1957-07-01,ROTHERA POINT,-17.3
26,1957-07-01,SYOWA,-12.9
27,1957-07-01,VOSTOK,-51.6
28,1957-07-01,MCMURDO,-23.9
29,1957-08-01,AMUNDSEN-SCOT,-60.2
30,1957-08-01,HALLEY,-28.4
31,1957-08-01,ROTHERA POINT,-15.2
32,1957-08-01,SYOWA,-17.7
33,1957-08-01,VOSTOK,-57.7
34,1957-08-01,MCMURDO,-27.7
35,1957-09-01,AMUNDSEN-SCOT,-57.3
36,1957-09-01,HALLEY,-33.3
37,1957-09-01,ROTHERA POINT,-13.0
38,1957-09-01,SYOWA,-18.3
39,1957-09-01,VOSTOK,-51.6
40,1957-09-01,MCMURDO,-25.6
41,1957-10-01,AMUNDSEN-SCOT,-61.7
42,1957-10-01,HALLEY,-26.1
43,1957-10-01,ROTHERA POINT,-3.4
44,1957-10-01,SYOWA,-20.4
45,1957-10-01,MCMURDO,-22.2
46,1957-11-01,AMUNDSEN-SCOT,-52.0
47,1957-11-01,HALLEY,-22.4
48,1957-11-01,ROTHERA POINT,-8.3
49,1957-11-01,SYOWA,-11.7
50,1957-11-01,MCMURDO,-20.5
51,1957-12-01,AMUNDSEN-SCOT,-36.3
52,1957-12-01,HALLEY,-13.1
53,1957-12-01,ROTHERA POINT,0.9
54,1957-12-01,SYOWA,-6.7
55,1957-12-01,VOSTOK,-35.6
56,1957-12-01,MCMURDO,-8.2
57,1958-01-01,AMUNDSEN-SCOT,-24.4
58,1958-01-01,HALLEY,-6.7
59,1958-01-01,ROTHERA POINT,1.4
60,1958-01-01,SYOWA,-1.3
61,1958-01-01,MCMURDO,-2.9
62,1958-02-01,AMUNDSEN-SCOT,-24.2
63,1958-02-01,HALLEY,-6.7
64,1958-02-01,ROTHERA POINT,3.3
65,1958-02-01,SYOWA,0.3
66,1958-02-01,VOSTOK,-31.3
67,1958-02-01,MCMURDO,-2.3
68,1958-03-01,AMUNDSEN-SCOT,-34.5
69,1958-03-01,HALLEY,-9.8
70,1958-03-01,ROTHERA POINT,2.1
71,1958-03-01,VOSTOK,-44.6
72,1958-03-01,MCMURDO,-5.9
73,1958-04-01,AMUNDSEN-SCOT,-53.3
74,1958-04-01,HALLEY,-17.1
75,1958-04-01,ROTHERA POINT,-1.2
76,1958-04-01,VOSTOK,-55.9
77,1958-04-01,MCMURDO,-18.8
78,1958-05-01,AMUNDSEN-SCOT,-61.2
79,1958-05-01,HALLEY,-25.8
80,1958-05-01,ROTHERA POINT,-3.7
81,1958-05-01,VOSTOK,-64.0
82,1958-05-01,MCMURDO,-20.8
83,1958-06-01,AMUNDSEN-SCOT,-56.2
84,1958-06-01,HALLEY,-31.3
85,1958-06-01,ROTHERA POINT,-11.0
86,1958-06-01,VOSTOK,-62.9
87,1958-06-01,MCMURDO,-25.3
88,1958-07-01,AMUNDSEN-SCOT,-60.3
89,1958-07-01,HALLEY,-25.7
90,1958-07-01,ROTHERA POINT,-15.4
91,1958-07-01,VOSTOK,-67.9
92,1958-07-01,MCMURDO,-26.4
93,1958-08-01,AMUNDSEN-SCOT,-54.5
94,1958-08-01,HALLEY,-29.1
95,1958-08-01,ROTHERA POINT,-15.1
96,1958-08-01,VOSTOK,-65.3
97,1958-08-01,MCMURDO,-31.5
98,1958-09-01,AMUNDSEN-SCOT,-60.8
99,1958-09-01,HALLEY,-29.8
